match_id,date,player_name,player_id,bowling_team,opponent_team,venue,match_type,winner,city,season,team_type,runs_conceded,balls_bowled,wickets_taken,dot_balls,overs_bowled,economy_rate
462,2015-11-13,AG Cremer,9f0270e0,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,29,25,3,7,4.17,6.95
462,2015-11-13,Al-Amin Hossain,3f5f39cd,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,26,24,2,11,4.0,6.5
462,2015-11-13,Jubair Hossain,902d916b,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,20,12,2,5,2.0,10.0
462,2015-11-13,LM Jongwe,b8704508,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,24,10,0,3,1.67,14.37
462,2015-11-13,Mahmudullah,bf1d7d3e,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,18,18,1,8,3.0,6.0
462,2015-11-13,Mashrafe Mortaza,e186f49c,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,20,24,2,14,4.0,5.0
462,2015-11-13,Mustafizur Rahman,0a8fce53,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,17,22,2,10,3.67,4.63
462,2015-11-13,N Madziva,4a36c370,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,24,20,0,6,3.33,7.21
462,2015-11-13,Nasir Hossain,6eea0b32,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,30,18,1,7,3.0,10.0
462,2015-11-13,SC Williams,afe57f7a,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,15,12,0,4,2.0,7.5
462,2015-11-13,T Panyangara,3b417422,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,25,21,1,9,3.5,7.14
462,2015-11-13,TS Chisoro,4b2d6789,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Bangladesh,Mirpur,2015/16,international,19,24,2,11,4.0,4.75
463,2015-11-15,AG Cremer,9f0270e0,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,21,25,2,9,4.17,5.04
463,2015-11-15,Al-Amin Hossain,3f5f39cd,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,20,24,3,13,4.0,5.0
463,2015-11-15,Arafat Sunny,1f7adc8a,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,31,24,1,7,4.0,7.75
463,2015-11-15,Mashrafe Mortaza,e186f49c,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,28,25,0,9,4.17,6.71
463,2015-11-15,Mustafizur Rahman,0a8fce53,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,12,26,1,18,4.33,2.77
463,2015-11-15,N Madziva,4a36c370,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,26,25,3,12,4.17,6.24
463,2015-11-15,Nasir Hossain,6eea0b32,Bangladesh,Zimbabwe,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,45,23,2,6,3.83,11.75
463,2015-11-15,SC Williams,afe57f7a,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,27,25,0,6,4.17,6.47
463,2015-11-15,T Panyangara,3b417422,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,30,27,3,13,4.5,6.67
463,2015-11-15,TS Chisoro,4b2d6789,Zimbabwe,Bangladesh,Shere Bangla National Stadium,T20,Zimbabwe,Mirpur,2015/16,international,31,25,1,9,4.17,7.43
464,2015-11-21,AV Lalcheta,b858be20,Oman,Hong Kong,Sheikh Zayed Stadium,T20,Oman,Abu Dhabi,2015/16,international,13,24,1,15,4.0,3.25
464,2015-11-21,Aizaz Khan,f6c2659d,Hong Kong,Oman,Sheikh Zayed Stadium,T20,Oman,Abu Dhabi,2015/16,international,20,21,1,8,3.5,5.71
