match_id,date,player_name,player_id,bowling_team,opponent_team,venue,match_type,winner,city,season,team_type,runs_conceded,balls_bowled,wickets_taken,dot_balls,overs_bowled,economy_rate,avg_wkts_last_5,avg_econ_last_5,form_score
4714,2023-12-20,A Ashok,321be7e3,New Zealand,Bangladesh,"Saxton Oval, Nelson",ODI,New Zealand,Nelson,2023/24,international,63,60,1,23,10.0,6.3,1.0,6.3,0.3464437517710399
4717,2023-12-23,A Ashok,321be7e3,New Zealand,Bangladesh,"McLean Park, Napier",ODI,Bangladesh,Napier,2023/24,international,2,1,0,0,0.17,11.76,0.5,9.03,0.2732360442051573
4622,2023-07-27,A Athanaze,58c2fac4,West Indies,India,"Kensington Oval, Bridgetown, Barbados",ODI,India,Bridgetown,2023,international,7,7,0,2,1.17,5.98,0.0,5.98,0.24916406914139982
4784,2024-10-23,A Athanaze,58c2fac4,West Indies,Sri Lanka,Pallekele International Cricket Stadium,ODI,Sri Lanka,Kandy,2024/25,international,12,19,1,10,3.17,3.79,0.5,4.885,0.3084726551431
4914,2025-10-23,A Athanaze,58c2fac4,West Indies,Bangladesh,"Shere Bangla National Stadium, Mirpur",ODI,Bangladesh,Dhaka,2025/26,international,38,42,2,21,7.0,5.43,1.0,5.066666666666666,0.3569283083026353
838,2019-07-27,A Bohara,64fb6b15,Nepal,Kuwait,Indian Association Ground,T20,Nepal,Singapore,2019,international,35,24,1,8,4.0,8.75,1.0,8.75,0.32561632190422213
894,2019-09-27,A Bohara,64fb6b15,Nepal,Zimbabwe,Indian Association Ground,T20,Zimbabwe,Singapore,2019/20,international,11,12,0,6,2.0,5.5,0.5,7.125,0.2894304335505809
899,2019-10-01,A Bohara,64fb6b15,Nepal,Zimbabwe,Indian Association Ground,T20,Zimbabwe,Singapore,2019/20,international,27,26,1,4,4.33,6.24,0.6666666666666666,6.830000000000001,0.30860489279304804
918,2019-10-06,A Bohara,64fb6b15,Nepal,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Nepal,Al Amarat,2019/20,international,18,18,2,5,3.0,6.0,1.0,6.6225000000000005,0.3437021819212241
920,2019-10-07,A Bohara,64fb6b15,Nepal,Netherlands,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Nepal,Al Amarat,2019/20,international,25,24,1,7,4.0,6.25,1.0,6.548,0.344335505809011
923,2019-10-09,A Bohara,64fb6b15,Nepal,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Ireland,Al Amarat,2019/20,international,24,24,2,8,4.0,6.0,1.2,5.998,0.3690110512893171
4236,2020-02-05,A Bohara,64fb6b15,Nepal,Oman,Tribhuvan University International Cricket Ground,ODI,Oman,Kirtipur,2019/20,international,38,54,1,37,9.0,4.22,1.4,5.742,0.39118730518560496
1069,2020-03-01,A Bohara,64fb6b15,Nepal,Hong Kong,Terdthai Cricket Ground,T20,Hong Kong,Bangkok,2019/20,international,27,24,0,7,4.0,6.75,1.2,5.843999999999999,0.3703202040238027
1149,2021-04-17,A Bohara,64fb6b15,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",T20,Nepal,Kirtipur,2021,international,27,24,0,7,4.0,6.75,0.8,5.994,0.3290450552564466
1152,2021-04-20,A Bohara,64fb6b15,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",T20,Netherlands,Kirtipur,2021,international,47,24,1,5,4.0,11.75,0.8,7.093999999999999,0.3196939642958345
1157,2021-04-24,A Bohara,64fb6b15,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",T20,Nepal,Kirtipur,2021,international,20,20,1,11,3.33,6.01,0.6,7.095999999999999,0.29967696231226976
1459,2022-02-11,A Bohara,64fb6b15,Nepal,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Nepal,Al Amarat,2021/22,international,27,24,3,8,4.0,6.75,1.0,7.601999999999999,0.3353754604703882
1465,2022-02-14,A Bohara,64fb6b15,Nepal,Ireland,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Ireland,Al Amarat,2021/22,international,29,24,3,6,4.0,7.25,1.6,7.702,0.39452536129215077
1469,2022-02-18,A Bohara,64fb6b15,Nepal,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Nepal,Al Amarat,2021/22,international,11,18,1,10,3.0,3.67,1.8,7.086,0.4197619722300935
1482,2022-02-21,A Bohara,64fb6b15,Nepal,Canada,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Nepal,Al Amarat,2021/22,international,8,18,3,10,3.0,2.67,2.2,5.2700000000000005,0.4751997733068858
1491,2022-02-24,A Bohara,64fb6b15,Nepal,Oman,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),T20,Nepal,Al Amarat,2021/22,international,14,18,1,10,3.0,4.67,2.2,5.002000000000001,0.47747803910456216
2278,2023-10-03,A Bohara,64fb6b15,Nepal,India,Zhejiang University of Technology Cricket Field,T20,India,Hangzhou,2023,international,53,25,0,6,4.17,12.71,1.6,6.194,0.4073448568999717
2321,2023-10-19,A Bohara,64fb6b15,Nepal,Hong Kong,Mulpani Cricket Ground,T20,Nepal,Kathmandu,2023/24,international,17,25,2,12,4.17,4.08,1.4,5.56,0.39273448568999714
2342,2023-11-02,A Bohara,64fb6b15,Nepal,Oman,"Tribhuvan University International Cricket Ground, Kirtipur",T20,Oman,Kirtipur,2023/24,international,18,24,1,6,4.0,4.5,1.4,5.726000000000001,0.39132332105412293
2485,2024-02-27,A Bohara,64fb6b15,Nepal,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",T20,Namibia,Kirtipur,2023/24,international,51,25,1,5,4.17,12.23,1.0,7.638,0.3350694247662227
2490,2024-03-01,A Bohara,64fb6b15,Nepal,Namibia,"Tribhuvan University International Cricket Ground, Kirtipur",T20,Nepal,Kirtipur,2023/24,international,32,25,1,5,4.17,7.67,1.0,8.238,0.32996882969679797
2492,2024-03-02,A Bohara,64fb6b15,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",T20,Nepal,Kirtipur,2023/24,international,28,20,0,2,3.33,8.41,1.0,7.378,0.3372796826296401
2497,2024-03-05,A Bohara,64fb6b15,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",T20,Netherlands,Kirtipur,2023/24,international,39,18,1,4,3.0,13.0,0.8,9.162,0.3021139132898838
2565,2024-04-15,A Bohara,64fb6b15,Nepal,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Nepal,Al Amarat,2024,international,29,25,4,7,4.17,6.95,1.4,9.652000000000001,0.3579484273165202
2578,2024-04-20,A Bohara,64fb6b15,Nepal,Hong Kong,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),T20,Hong Kong,Al Amarat,2024,international,28,18,0,2,3.0,9.33,1.2,9.072,0.3428790025502975
2638,2024-06-04,A Bohara,64fb6b15,Nepal,Netherlands,"Grand Prairie Stadium, Dallas",T20,Netherlands,Dallas,2024,international,30,22,1,4,3.67,8.17,1.2,9.172,0.34202890337206004
2681,2024-06-14,A Bohara,64fb6b15,Nepal,South Africa,"Arnos Vale Ground, Kingstown, St Vincent",T20,South Africa,Kingstown,2024,international,20,18,0,7,3.0,6.67,1.2,8.824000000000002,0.3449872485123264
2698,2024-06-16,A Bohara,64fb6b15,Nepal,Bangladesh,"Arnos Vale Ground, Kingstown, St Vincent",T20,Bangladesh,Kingstown,2024,international,11,8,0,2,1.33,8.27,1.0,7.878,0.3330291867384528
3456,2025-09-15,A Busing-Volschenk,e9e37173,Namibia,Zimbabwe,"Queens Sports Club, Bulawayo",T20,Zimbabwe,Bulawayo,2025/26,international,43,25,2,7,4.17,10.31,2.0,10.31,0.41235477472371773
3132,2025-04-09,A Chenthamara,e7e14ecc,Kuwait,Hong Kong,"Mission Road Ground, Mong Kok, Hong Kong",T20,Kuwait,Mong Kok,2025,international,16,15,0,7,2.5,6.4,0.0,6.4,0.2455936525928025
